,holc_grade,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
0,A,0.18366338704934357,0.1896285483223995,0.016648880912808552,0.42029417022885435,0.0760323895604167,740.5,0.9997650375939848,352,2013-2022
1,B,0.16223596445527416,0.17355918117014482,0.014015690677742804,0.42248740057388057,0.07588750732163199,1060.8194444444443,0.9905492794868088,1584,2013-2022
2,C,0.13995528201677335,0.14863558046113415,0.0036356594451764056,0.4156854103664057,0.06824791841190456,1306.6560846560847,0.9957610129132708,4158,2013-2022
3,D,0.1251787737754924,0.13793954750918544,-0.00530041358034709,0.41430325889205766,0.0765614979059099,1189.8487394957983,0.9811494277188622,2618,2013-2022
4,E,0.12677330210466276,0.13238312414416048,-0.023179700344123623,0.4752692445922135,0.08996484646129167,725.0,1.0,22,2013-2022
