,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
A,301.49108051118395,301.43798746381486,298.3754184359596,304.33981777372816,1.2031995538799536,740.5,0.9997650375939848,336,2013-2022
B,302.72021137678706,302.6403940213781,299.4621866031569,305.54137263914356,1.148006630369595,1088.2714285714285,0.9948915037986766,1470,2013-2022
C,303.6812740430281,303.5736398899809,300.10815569598384,306.42744359226094,1.107694794617314,1306.1436170212767,0.9963875477395011,3948,2013-2022
D,303.5711385451235,303.49761434330804,300.10155109288166,306.720024845141,1.1769749300293013,1231.1769911504425,0.9979907931515569,2373,2013-2022
E,303.34327915736606,303.95317004975817,299.28334554036456,311.4441208612351,2.5613477400371005,725.0,1.0,21,2013-2022
