,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
A,298.6720969126775,298.71155790182263,295.5479178795448,301.94829713381256,1.4056752428698998,740.5,0.9997650375939848,416,1984-1993
B,300.4770367632855,300.39137980702156,296.68090174748346,303.68031299297627,1.3841437112007822,1088.2714285714285,0.9948915037986774,1820,1984-1993
C,301.1008677342445,301.01370659541004,297.11751231617944,304.3072603482504,1.3560133975003017,1307.069475847893,0.9963530443435663,4865,1984-1993
D,301.218226177317,301.1265504677115,296.98711571566656,304.6356011243117,1.459416011385188,1232.2079072937968,0.9980082513764602,2934,1984-1993
E,300.8755281888522,301.53790165827826,298.8632601224459,307.2722355769231,1.9255415292886586,725.0,1.0,26,1984-1993
