,holc_grade,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
0,A,298.6720969126775,298.71155790182263,295.5479178795448,301.94829713381256,1.4056752428698998,740.5,0.9997650375939848,416,1984-1993
1,B,300.3744851951925,300.28985289223175,296.62699906438843,303.53885285467163,1.3687955618828025,1060.8194444444443,0.9905492794868094,1872,1984-1993
2,C,301.089157682995,301.0025855840783,297.1112555073467,304.2960082597262,1.3528676814871585,1304.7348145128415,0.9934475319903627,4906,1984-1993
3,D,301.0693890369,300.9827629049825,296.9005335377906,304.45716209609276,1.4501387052161985,1191.5974740932643,0.9816401375378817,3088,1984-1993
4,E,300.8755281888522,301.53790165827826,298.8632601224459,307.2722355769231,1.9255415292886586,725.0,1.0,26,1984-1993
