,holc_grade,median,mean,min,max,std,num_pixels,pixel_frac,num_bounds,year_range
0,A,298.04600979731634,298.052104142996,295.04580384034375,301.00437787862927,1.201002582979317,740.5,0.9997650375939848,416,1994-2002
1,B,299.6205090868604,299.55602306324045,296.07023814274714,302.50347796429645,1.1906180326345859,1088.2714285714285,0.9948915037986774,1820,1994-2002
2,C,300.4585440696955,300.39313769144127,296.709199726287,303.3226330237098,1.0981256231432397,1307.8346375617793,0.996383316407997,4856,1994-2002
3,D,300.6648262302257,300.6088440170314,296.8381103037,303.8707028482296,1.2320215586703709,1232.5666553017388,0.9979826460378663,2933,1994-2002
4,E,299.52423330453723,300.3561542217548,297.1579284667969,306.89068603515625,2.2777575025191674,725.0,1.0,26,1994-2002
