source_file,holc_grade,loc_year,median,mean,min,max,std,pixel_frac,num_bounds
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYC,0.1643534561735578,0.16659395187889459,-0.03435591631568968,0.41195587534457445,0.0882718050852418,0.9997650375939849,16
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYC,0.14161432908315744,0.15140796755440533,-0.04753090095972376,0.43516209231955666,0.09223792526338781,0.994891503798676,70
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYC,0.12675029136230576,0.13393138624242248,-0.06074368243819063,0.4405954307381143,0.08766794390976429,0.9963875477394976,188
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYC,0.10027054621450669,0.11365162264643262,-0.06134890430747012,0.43095536200346146,0.09498616222259218,0.9979907931515581,113
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBronx1938,0.35762612521648407,0.3350561261177063,0.0,0.5239278376102448,0.1052505411207676,1.0,2
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYBrooklyn1938,0.15485262870788574,0.1558169573545456,-0.08362574875354767,0.40196335315704346,0.08296332508325578,1.0,1
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYManhattan1937,0.021731257089413702,0.03804997123370413,-0.0754232108592987,0.32369756512343884,0.07971907965838909,0.9995300751879699,8
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYQueens1938,0.2405652999877929,0.2111919522285461,-0.03894604369997978,0.40963736176490784,0.09870512783527374,1.0,1
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,A,NYStatenIsland1940,0.3362837657332421,0.330995574593544,0.04406570456922054,0.5355642735958099,0.09560667723417282,1.0,4
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBronx1938,0.13093388893387534,0.14534221894361757,-0.04101248280229894,0.4514580098065463,0.10225874050097032,0.9995980464232929,11
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYBrooklyn1938,0.09976252825821147,0.1038059842060594,-0.06058749096358523,0.419674615649616,0.08014456138891332,0.9999238037183786,17
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYManhattan1937,0.018036667645598452,0.06485820216281961,-0.07573309944321711,0.4222811224559943,0.11919744654248159,0.9930151447375271,12
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYQueens1938,0.19410731884486535,0.1892418372718727,-0.05058982365709894,0.41156818936852846,0.07987255756469334,0.9842317855993126,17
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,B,NYStatenIsland1940,0.25080791115760803,0.24920630225768456,-0.005939554960395281,0.48436978459358215,0.09085755709272164,1.0,13
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBronx1938,0.10388426381446746,0.11778953784833783,-0.07161688124356062,0.4837867565776991,0.10197759257710498,0.9965846842117824,23
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYBrooklyn1938,0.060665539670735597,0.07302323400974274,-0.08551170527935029,0.4286833906173706,0.08075330197811127,0.9960036638507616,25
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYManhattan1937,-0.012428521023442348,0.026379185340677697,-0.10898436109224956,0.3897535155216853,0.09306345259149869,1.0,6
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYQueens1938,0.12882005126130852,0.13314417451620103,-0.05712058637291193,0.4228092841126702,0.08238375335931777,0.9958582236268657,110
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,C,NYStatenIsland1940,0.24281015433371067,0.24334275349974632,-0.029069197092515726,0.5058424361050129,0.10402761213481426,0.9981214601220962,24
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYBronx1938,0.08582142953361784,0.10448465230209487,-0.07571386811988694,0.48762974994523184,0.10257967455046517,0.9959777647218331,7
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYBrooklyn1938,0.06362200099165025,0.08052524049644885,-0.07615783616252568,0.4370382505914439,0.09105585515499115,0.9953988765063441,23
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYManhattan1937,0.002210797535048591,0.0257046803351302,-0.08140767765817819,0.3375067468042727,0.07554488118599963,0.9995497330979808,27
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYQueens1938,0.11799870364161001,0.12846810723810145,-0.05194323032628745,0.43285048173533547,0.10052028432902363,0.9988192491385224,36
ext_stats_ndvi_LT05_L1TP_013032_19850901_20161004_01_T1.csv,D,NYStatenIsland1940,0.24794354140758515,0.2470141015946865,-0.02914176448248327,0.5268684193491936,0.11313259564340114,0.9980802675397505,20
ext_stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,A,NYC,0.10251233162125573,0.10526789643336087,-0.052775467454921454,0.3061927518574521,0.07153719419147819,0.9997650375939849,16
ext_stats_ndvi_LT05_L1TP_013032_19850917_20161004_01_T1.csv,B,NYC,0.07725314406145896,0.08778397891936558,-0.06371095454586403,0.3101121843260314,0.07321076808231218,0.994891503798676,70
