source_file,holc_grade,loc_year,median,mean,min,max,std,pixel_frac,num_bounds
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYC,300.47651290893555,300.5421504974365,298.0094108581543,303.13580894470215,1.078751027584076,0.9997650375939849,16
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYC,301.7587851388114,301.70575256347655,298.71979457310266,304.3257838657924,1.0696371423346656,0.994891503798676,70
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,C,NYC,302.2583394152053,302.21304175194274,299.36456412457403,304.6934583948014,0.9487995212065413,0.9963875477394976,188
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,D,NYC,302.2152583029418,302.1703907114215,299.12098680344303,304.8694441803789,1.0533608179704277,0.9979907931515581,113
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYBronx1938,297.9364318847656,298.16815185546875,296.3408203125,301.8195343017578,0.8990540206432343,1.0,2
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYBrooklyn1938,301.6040954589844,301.411376953125,298.14093017578125,304.1360168457031,0.9374362230300904,1.0,1
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYManhattan1937,301.6703567504883,301.68041229248047,298.6858825683594,304.1413688659668,1.2191845253109932,0.9995300751879699,8
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYQueens1938,300.73504638671875,301.06121826171875,299.8365783691406,303.7250061035156,1.015492558479309,1.0,1
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,A,NYStatenIsland1940,299.01233673095703,299.10555267333984,297.00109100341797,301.3854751586914,0.9388758540153503,1.0,4
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYBronx1938,302.54502175071025,302.43499755859375,299.28763927112925,305.5037120472301,1.1776453527537258,0.9995980464232929,11
ext_stats_lst_LT05_L1TP_013032_19890726_20161002_01_T1.csv,B,NYBrooklyn1938,302.44493910845586,302.3739641974954,299.26782406077666,304.8879232967601,0.8826715315089506,0.9999238037183786,17
