==============================================================================
==============================================================================
Tue. Sep. 27 2016                  LANDSAT 5                       Time: 19:27
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609263030_05596                          Path / Row - 13 / 32
Reference Image: L51XXX1094237140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320092   41.25659    -74.15010     0.08      0.10     0.13     1 
0130320093   41.25631    -74.11322    -0.07      0.14     0.16     1 
0130320094   41.25602    -74.07634     0.08      0.02     0.08     1 
0130320095   41.25572    -74.03946     0.30      0.16     0.34     1 
0130320096   41.25541    -74.00258     0.09      0.07     0.12     1 
0130320097   41.25508    -73.96571     0.21     -0.04     0.21     1 
0130320167   41.23119    -74.15043    -0.12      0.17     0.21     1 
0130320168   41.23091    -74.11357    -0.13      0.08     0.15     1 
0130320169   41.23062    -74.07670    -0.00      0.08     0.08     1 
0130320170   41.23032    -74.03984     0.16      0.00     0.16     1 
0130320171   41.23001    -74.00297     0.16     -0.04     0.16     1 
0130320172   41.22968    -73.96611    -0.17     -0.04     0.17     1 
0130320173   41.22935    -73.92924    -0.17      0.09     0.20     1 
0130320174   41.22900    -73.89238     0.09      0.00     0.09     1 
0130320175   41.22864    -73.85552    -0.09      0.03     0.10     1 
0130320176   41.22827    -73.81866    -0.09     -0.02     0.09     1 
0130320177   41.22788    -73.78180     0.27     -0.04     0.27     1 
0130320242   41.20579    -74.15076    -0.08      0.12     0.15     1 
0130320243   41.20551    -74.11391     0.12     -0.05     0.13     1 
0130320244   41.20522    -74.07706    -0.15      0.12     0.19     1 
0130320245   41.20492    -74.04021     0.14      0.10     0.18     1 
0130320246   41.20461    -74.00336     0.16      0.02     0.17     1 
0130320247   41.20429    -73.96651     0.09      0.03     0.09     1 
0130320249   41.20360    -73.89281    -0.11      0.11     0.15     1 
0130320250   41.20324    -73.85596     0.08      0.00     0.08     1 
0130320251   41.20287    -73.81911     0.10     -0.07     0.13     1 
0130320252   41.20249    -73.78227     0.14      0.05     0.15     1 
0130320253   41.20209    -73.74542     0.06     -0.03     0.07     1 
0130320254   41.20168    -73.70858     0.19      0.03     0.19     1 
0130320255   41.20126    -73.67173     0.21     -0.04     0.22     1 
0130320256   41.20083    -73.63489     0.08     -0.01     0.09     1 
0130320257   41.20039    -73.59805    -0.06      0.07     0.09     1 
0130320316   41.18066    -74.18793    -0.01      0.05     0.05     1 
0130320317   41.18039    -74.15109     0.17     -0.04     0.18     1 
0130320318   41.18012    -74.11425    -0.15      0.15     0.21     1 
0130320319   41.17983    -74.07742     0.17     -0.02     0.17     1 
0130320320   41.17952    -74.04058     0.30      0.01     0.30     1 
0130320321   41.17921    -74.00374     0.11     -0.06     0.13     1 
0130320322   41.17889    -73.96691    -0.03      0.11     0.11     1 
0130320324   41.17820    -73.89324    -0.02      0.01     0.02     1 
0130320325   41.17784    -73.85640     0.20      0.06     0.21     1 
0130320326   41.17747    -73.81957     0.05     -0.00     0.05     1 
0130320327   41.17709    -73.78274     0.07      0.04     0.08     1 
0130320328   41.17669    -73.74591     0.11      0.01     0.11     1 
0130320329   41.17629    -73.70908     0.30     -0.10     0.32     1 
0130320330   41.17587    -73.67225     0.02     -0.02     0.03     1 
0130320331   41.17544    -73.63542    -0.05     -0.01     0.05     1 
0130320332   41.17500    -73.59859    -0.04      0.02     0.05     1 
0130320334   41.17408    -73.52494     0.08      0.08     0.11     1 
0130320335   41.17360    -73.48811     0.12      0.00     0.12     1 
0130320336   41.17311    -73.45129     0.00      0.04     0.04     1 
0130320337   41.17261    -73.41446     0.04      0.12     0.13     1 
0130320391   41.15526    -74.18824     0.12      0.04     0.13     1 
0130320392   41.15499    -74.15142     0.04      0.03     0.05     1 
0130320393   41.15472    -74.11459     0.10      0.04     0.11     1 
