==============================================================================
==============================================================================
 Sep. 24 2016                  LANDSAT 5                       Time: 18:02
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609242737_03104                          Path / Row - 13 / 32
Reference Image: L51XXX1096243140100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320015   41.25132    -74.03058     0.20     -0.01     0.20     1 
0130320016   41.25101    -73.99370     0.19      0.09     0.21     1 
0130320091   41.22561    -73.99409     0.16      0.06     0.17     1 
0130320092   41.22528    -73.95723     0.12     -0.08     0.14     1 
0130320093   41.22494    -73.92037    -0.17      0.17     0.24     1 
0130320094   41.22459    -73.88351     0.17     -0.07     0.18     1 
0130320095   41.22423    -73.84665    -0.04      0.02     0.04     1 
0130320096   41.22385    -73.80979     0.07     -0.03     0.07     1 
0130320097   41.22346    -73.77293     0.16     -0.05     0.16     1 
0130320165   41.20053    -74.03133     0.22      0.20     0.30     1 
0130320166   41.20021    -73.99448     0.15      0.12     0.19     1 
0130320167   41.19988    -73.95763     0.07     -0.04     0.08     1 
0130320169   41.19919    -73.88394    -0.06      0.09     0.11     1 
0130320170   41.19883    -73.84709     0.09      0.02     0.09     1 
0130320171   41.19845    -73.81025     0.22     -0.05     0.22     1 
0130320172   41.19807    -73.77341     0.13      0.02     0.13     1 
0130320173   41.19767    -73.73656     0.06      0.01     0.06     1 
0130320174   41.19726    -73.69972     0.14      0.03     0.14     1 
0130320175   41.19684    -73.66288     0.20     -0.03     0.20     1 
0130320176   41.19640    -73.62604     0.06     -0.01     0.06     1 
0130320177   41.19596    -73.58920     0.11     -0.02     0.11     1 
0130320241   41.17481    -73.99487     0.30      0.08     0.31     1 
0130320242   41.17448    -73.95803     0.04      0.15     0.16     1 
0130320244   41.17379    -73.88437    -0.29      0.13     0.32     1 
0130320245   41.17343    -73.84754     0.22      0.04     0.22     1 
0130320246   41.17306    -73.81071     0.11      0.04     0.12     1 
0130320247   41.17267    -73.77388     0.09      0.10     0.14     1 
0130320248   41.17227    -73.73705     0.19      0.03     0.19     1 
0130320249   41.17186    -73.70022     0.18      0.04     0.18     1 
0130320250   41.17144    -73.66340     0.11     -0.01     0.12     1 
0130320251   41.17101    -73.62657     0.13     -0.02     0.13     1 
0130320252   41.17056    -73.58974     0.04     -0.01     0.04     1 
0130320253   41.17011    -73.55292    -0.10      0.03     0.11     1 
0130320254   41.16964    -73.51610     0.18     -0.04     0.18     1 
0130320256   41.16866    -73.44245     0.12     -0.04     0.12     1 
0130320257   41.16816    -73.40563     0.14      0.04     0.14     1 
0130320314   41.15003    -74.06889     0.24      0.14     0.28     1 
0130320316   41.14941    -73.99526     0.08      0.08     0.11     1 
0130320317   41.14909    -73.95844     0.11      0.05     0.12     1 
0130320318   41.14875    -73.92162     0.07      0.07     0.10     1 
0130320320   41.14803    -73.84798     0.21     -0.00     0.21     1 
0130320321   41.14766    -73.81117     0.14      0.01     0.14     1 
0130320322   41.14727    -73.77435     0.09      0.04     0.10     1 
0130320323   41.14688    -73.73754     0.08      0.07     0.11     1 
0130320324   41.14647    -73.70073     0.13      0.10     0.17     1 
0130320325   41.14605    -73.66391     0.04      0.11     0.12     1 
0130320326   41.14561    -73.62710     0.15      0.05     0.16     1 
0130320327   41.14517    -73.59029     0.08      0.07     0.11     1 
0130320328   41.14471    -73.55348     0.06      0.06     0.09     1 
0130320329   41.14424    -73.51667     0.15      0.01     0.15     1 
0130320330   41.14376    -73.47986     0.11     -0.03     0.12     1 
0130320331   41.14327    -73.44305     0.11      0.02     0.11     1 
0130320332   41.14277    -73.40624     0.14     -0.02     0.14     1 
0130320333   41.14225    -73.36944     0.04     -0.04     0.06     1 
0130320334   41.14173    -73.33263     0.14     -0.03     0.14     1 
0130320336   41.14064    -73.25903     0.01     -0.04     0.04     1 
