==============================================================================
==============================================================================
 Sep. 24 2016                  LANDSAT 5                       Time: 11:21
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609191976_03231                          Path / Row - 13 / 32
Reference Image: L51XXX1098248150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320095   41.24957    -73.95362    -0.05     -0.03     0.06     1 
0130320173   41.22310    -73.84237     0.04     -0.04     0.05     1 
0130320175   41.22233    -73.76794    -0.04     -0.05     0.06     1 
0130320176   41.22192    -73.73073     0.21     -0.14     0.26     1 
0130320243   41.19942    -74.02884     0.18      0.14     0.23     1 
0130320245   41.19877    -73.95443     0.06     -0.07     0.09     1 
0130320247   41.19807    -73.88002     0.01      0.05     0.05     1 
0130320251   41.19653    -73.73122     0.14      0.06     0.15     1 
0130320252   41.19611    -73.69402     0.15      0.08     0.17     1 
0130320256   41.19433    -73.54523     0.20     -0.02     0.20     1 
0130320322   41.17267    -73.88046    -0.04      0.13     0.14     1 
0130320328   41.17029    -73.65734     0.14     -0.06     0.15     1 
0130320329   41.16985    -73.62016     0.20     -0.05     0.21     1 
0130320331   41.16894    -73.54579    -0.06     -0.04     0.07     1 
0130320332   41.16846    -73.50861     0.20      0.04     0.20     1 
0130320333   41.16797    -73.47143     0.14      0.01     0.14     1 
0130320334   41.16747    -73.43425     0.19      0.01     0.20     1 
0130320335   41.16696    -73.39708     0.17      0.00     0.17     1 
0130320336   41.16644    -73.35990     0.11     -0.02     0.12     1 
0130320394   41.14831    -73.99241     0.13      0.02     0.13     1 
0130320395   41.14798    -73.95524     0.16      0.17     0.23     1 
0130320397   41.14728    -73.88089    -0.03      0.12     0.12     1 
0130320398   41.14691    -73.84372     0.32      0.02     0.32     1 
0130320401   41.14574    -73.73220     0.21      0.08     0.22     1 
0130320402   41.14532    -73.69503     0.23      0.06     0.24     1 
0130320403   41.14489    -73.65786     0.06      0.11     0.12     1 
0130320404   41.14446    -73.62069    -0.27      0.05     0.27     1 
0130320405   41.14400    -73.58352     0.09      0.07     0.11     1 
0130320406   41.14354    -73.54635     0.17      0.05     0.18     1 
0130320407   41.14307    -73.50919     0.12      0.09     0.15     1 
0130320408   41.14258    -73.47202     0.14      0.01     0.14     1 
0130320409   41.14208    -73.43486     0.10      0.04     0.11     1 
0130320410   41.14157    -73.39769     0.22      0.05     0.23     1 
0130320411   41.14105    -73.36053     0.05      0.01     0.05     1 
0130320412   41.14051    -73.32337     0.20      0.01     0.20     1 
0130320413   41.13996    -73.28621     0.08     -0.03     0.09     1 
0130320415   41.13883    -73.21189    -0.24     -0.13     0.27     1 
0130320467   41.12353    -74.06713     0.23      0.00     0.23     1 
0130320469   41.12291    -73.99280     0.25      0.18     0.31     1 
0130320470   41.12258    -73.95564     0.19      0.00     0.19     1 
0130320471   41.12224    -73.91848     0.33     -0.03     0.33     1 
0130320473   41.12151    -73.84416     0.26      0.01     0.26     1 
0130320476   41.12034    -73.73269     0.05     -0.07     0.08     1 
0130320480   41.11861    -73.58407     0.02      0.05     0.05     1 
0130320481   41.11815    -73.54691     0.04      0.08     0.09     1 
0130320482   41.11767    -73.50976     0.16      0.05     0.17     1 
0130320483   41.11718    -73.47261     0.21      0.11     0.23     1 
0130320484   41.11669    -73.43546     0.16      0.10     0.18     1 
0130320485   41.11618    -73.39831     0.09      0.09     0.13     1 
0130320486   41.11565    -73.36116    -0.07      0.09     0.11     1 
0130320487   41.11512    -73.32402    -0.33      0.01     0.34     1 
0130320544   41.09751    -73.99319     0.07      0.11     0.13     1 
0130320545   41.09718    -73.95604     0.04      0.05     0.06     1 
0130320547   41.09648    -73.88175     0.33     -0.10     0.34     1 
0130320548   41.09611    -73.84461     0.28      0.08     0.29     1 
0130320549   41.09574    -73.80746     0.16      0.02     0.16     1 
