==============================================================================
==============================================================================
Wed. Aug. 31 2016                  LANDSAT 5                       Time: 05:48
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501608303549_09292                          Path / Row - 13 / 32
Reference Image: L51GNC1011188150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320091   41.24319    -74.16496     0.39     -0.09     0.40     1 
0130320092   41.24291    -74.12737    -0.05     -0.03     0.06     1 
0130320094   41.24231    -74.05219     0.05      0.06     0.08     1 
0130320095   41.24200    -74.01460     0.23      0.09     0.25     1 
0130320096   41.24167    -73.97702     0.28      0.12     0.31     1 
0130320166   41.21779    -74.16528     0.04      0.10     0.11     1 
0130320167   41.21751    -74.12771     0.16     -0.11     0.20     1 
0130320169   41.21692    -74.05256     0.10      0.10     0.14     1 
0130320171   41.21627    -73.97741    -0.10      0.12     0.15     1 
0130320173   41.21558    -73.90227     0.18      0.14     0.23     1 
0130320174   41.21522    -73.86470     0.38     -0.22     0.44     1 
0130320175   41.21484    -73.82713    -0.06      0.02     0.06     1 
0130320241   41.19239    -74.16560     0.03      0.00     0.03     1 
0130320242   41.19211    -74.12804    -0.01     -0.02     0.02     1 
0130320248   41.19018    -73.90269     0.08     -0.08     0.11     1 
0130320249   41.18982    -73.86514     0.09     -0.10     0.13     1 
0130320250   41.18944    -73.82758     0.25      0.01     0.25     1 
0130320251   41.18906    -73.79003     0.24      0.10     0.26     1 
0130320252   41.18865    -73.75248     0.24     -0.01     0.24     1 
0130320253   41.18824    -73.71492     0.23      0.15     0.28     1 
0130320255   41.18738    -73.63982     0.11      0.09     0.14     1 
0130320316   41.16699    -74.16593     0.04     -0.02     0.04     1 
0130320317   41.16671    -74.12838    -0.11      0.09     0.14     1 
0130320321   41.16548    -73.97820     0.09     -0.05     0.11     1 
0130320323   41.16479    -73.90312     0.01     -0.06     0.06     1 
0130320324   41.16442    -73.86558     0.16      0.11     0.19     1 
0130320325   41.16405    -73.82804     0.20      0.00     0.20     1 
0130320328   41.16285    -73.71542     0.38     -0.07     0.39     1 
0130320330   41.16198    -73.64035     0.12     -0.06     0.13     1 
0130320331   41.16154    -73.60281     0.09      0.07     0.11     1 
0130320332   41.16107    -73.56528     0.19     -0.29     0.35     1 
0130320333   41.16060    -73.52774     0.21      0.02     0.21     1 
0130320391   41.14159    -74.16625     0.11      0.06     0.12     1 
0130320392   41.14131    -74.12872     0.38     -0.17     0.42     1 
0130320395   41.14041    -74.01613     0.29      0.03     0.29     1 
0130320396   41.14008    -73.97860     0.22      0.02     0.22     1 
0130320397   41.13974    -73.94107     0.10      0.01     0.11     1 
0130320400   41.13865    -73.82849     0.36      0.13     0.38     1 
0130320403   41.13745    -73.71592     0.24     -0.04     0.24     1 
0130320404   41.13703    -73.67839     0.16      0.08     0.18     1 
0130320405   41.13659    -73.64087     0.23     -0.01     0.23     1 
0130320406   41.13614    -73.60335    -0.04      0.02     0.05     1 
0130320408   41.13520    -73.52831     0.23     -0.09     0.24     1 
0130320414   41.13211    -73.30321     0.05     -0.02     0.06     1 
0130320415   41.13155    -73.26570    -0.06     -0.03     0.07     1 
0130320465   41.11646    -74.20409     0.11      0.14     0.18     1 
0130320466   41.11619    -74.16657     0.11      0.01     0.11     1 
0130320467   41.11591    -74.12905     0.04      0.04     0.06     1 
0130320471   41.11468    -73.97899     0.31     -0.03     0.31     1 
0130320472   41.11434    -73.94148     0.18     -0.00     0.18     1 
0130320473   41.11399    -73.90396     0.15     -0.01     0.15     1 
0130320477   41.11247    -73.75392    -0.03      0.06     0.06     1 
0130320478   41.11205    -73.71641     0.05     -0.02     0.05     1 
0130320479   41.11163    -73.67890     0.20      0.02     0.20     1 
0130320480   41.11119    -73.64140     0.27     -0.00     0.27     1 
