==============================================================================
==============================================================================
Thu. Sep. 15 2016                  LANDSAT 5                       Time: 06:17
                            Image Assessment System
                            GEOMETRIC VERIFY Report
==============================================================================
Order ID: 0501609141136_07637                          Path / Row - 13 / 32
Reference Image: L51LGS1003182150100_HDF.L1G

Color mapping per rank
----------------------
Rank  1 is Green: total residual <= 0.5
Rank  2 is Cyan: 0.5 < total residual <=  1
Rank  3 is Blue:  1 < total residual <=  2
Rank  4 is Yellow:  2 < total residual <=  3
Rank  5 is Red:  3 < total residual

Percentage of residuals by rank
-------------------------------
Rank   1 -- 100.0%
Rank   2 --  0.0%
Rank   3 --  0.0%
Rank   4 --  0.0%
Rank   5 --  0.0%

       GCP    Latitude    Longitude  Sample   Line     Total    Rank
        ID                           Residual Residual Residual
              (Degree)    (Degree)   (Pixel)  (Pixel)  (Pixel)
----------------------------------------------------------------------
0130320480   41.11351    -73.60919     0.12      0.06     0.14     1 
0130320481   41.11306    -73.57204     0.02      0.07     0.07     1 
0130320482   41.11259    -73.53489     0.10      0.05     0.11     1 
0130320483   41.11211    -73.49774     0.17      0.08     0.19     1 
0130320484   41.11162    -73.46059     0.13      0.06     0.14     1 
0130320485   41.11112    -73.42345    -0.08     -0.05     0.10     1 
0130320486   41.11060    -73.38630    -0.01     -0.16     0.16     1 
0130320487   41.11008    -73.34915    -0.37     -0.05     0.37     1 
0130320539   41.09375    -74.20400     0.11      0.09     0.15     1 
0130320540   41.09349    -74.16685     0.01      0.07     0.07     1 
0130320541   41.09322    -74.12971     0.25      0.09     0.27     1 
0130320542   41.09293    -74.09256     0.34      0.02     0.34     1 
0130320543   41.09263    -74.05542     0.07      0.13     0.15     1 
0130320544   41.09232    -74.01827     0.05      0.09     0.10     1 
0130320545   41.09200    -73.98113     0.11      0.06     0.12     1 
0130320546   41.09166    -73.94398    -0.04      0.02     0.04     1 
0130320548   41.09096    -73.86970     0.07      0.03     0.08     1 
0130320549   41.09059    -73.83256     0.07      0.08     0.11     1 
0130320550   41.09021    -73.79542     0.13      0.05     0.14     1 
0130320551   41.08981    -73.75828    -0.10     -0.04     0.11     1 
0130320552   41.08941    -73.72114     0.12      0.00     0.12     1 
0130320553   41.08899    -73.68400     0.26      0.01     0.26     1 
0130320554   41.08856    -73.64686     0.07      0.01     0.07     1 
0130320555   41.08812    -73.60972     0.12      0.05     0.13     1 
0130320556   41.08766    -73.57259     0.16      0.05     0.16     1 
0130320557   41.08720    -73.53545     0.24      0.05     0.24     1 
0130320558   41.08672    -73.49832     0.29      0.04     0.29     1 
0130320559   41.08623    -73.46119     0.04      0.06     0.07     1 
0130320560   41.08572    -73.42405    -0.03     -0.01     0.04     1 
0130320561   41.08521    -73.38692    -0.33     -0.16     0.36     1 
0130320562   41.08469    -73.34979    -0.25     -0.26     0.36     1 
0130320615   41.06809    -74.16718     0.18     -0.03     0.19     1 
0130320616   41.06782    -74.13004     0.02     -0.00     0.02     1 
0130320617   41.06753    -74.09291     0.32      0.05     0.32     1 
0130320618   41.06723    -74.05578     0.32      0.02     0.32     1 
0130320619   41.06692    -74.01865     0.04      0.03     0.05     1 
0130320620   41.06660    -73.98152     0.13     -0.03     0.14     1 
0130320621   41.06627    -73.94439     0.20      0.10     0.22     1 
0130320622   41.06592    -73.90726    -0.06      0.02     0.06     1 
0130320624   41.06519    -73.83301     0.09     -0.07     0.11     1 
0130320625   41.06481    -73.79588     0.20      0.04     0.20     1 
0130320626   41.06442    -73.75876    -0.04      0.07     0.08     1 
0130320627   41.06401    -73.72163     0.05      0.02     0.05     1 
0130320628   41.06359    -73.68451     0.12     -0.00     0.12     1 
0130320629   41.06316    -73.64738     0.12     -0.02     0.12     1 
0130320630   41.06272    -73.61026     0.22      0.01     0.22     1 
0130320631   41.06227    -73.57314     0.08     -0.01     0.08     1 
0130320632   41.06180    -73.53602     0.00     -0.02     0.02     1 
0130320633   41.06132    -73.49890    -0.14      0.03     0.14     1 
0130320634   41.06083    -73.46178    -0.28     -0.03     0.28     1 
0130320635   41.06033    -73.42466    -0.15     -0.13     0.20     1 
0130320636   41.05982    -73.38754    -0.34     -0.13     0.37     1 
0130320690   41.04269    -74.16750     0.26      0.14     0.29     1 
0130320691   41.04242    -74.13038     0.07      0.05     0.08     1 
0130320692   41.04213    -74.09326     0.27      0.09     0.28     1 
0130320693   41.04183    -74.05614     0.18      0.06     0.19     1 
0130320694   41.04152    -74.01903     0.32     -0.03     0.32     1 
0130320695   41.04120    -73.98191     0.08     -0.01     0.08     1 
0130320696   41.04087    -73.94480     0.11      0.06     0.12     1 
0130320697   41.04052    -73.90768    -0.01     -0.13     0.13     1 
0130320699   41.03979    -73.83346     0.19     -0.03     0.19     1 
0130320700   41.03941    -73.79634     0.14      0.09     0.16     1 
0130320701   41.03902    -73.75923     0.11      0.00     0.11     1 
0130320702   41.03861    -73.72212     0.26     -0.00     0.26     1 
0130320703   41.03820    -73.68501     0.12      0.04     0.13     1 
0130320704   41.03777    -73.64790     0.15      0.00     0.15     1 
0130320705   41.03733    -73.61079     0.23      0.04     0.23     1 
0130320706   41.03687    -73.57369     0.04      0.03     0.04     1 
0130320707   41.03641    -73.53658    -0.12     -0.01     0.12     1 
0130320736   41.01772    -72.46096    -0.19     -0.02     0.19     1 
0130320764   41.01755    -74.20492     0.12      0.14     0.18     1 
0130320765   41.01729    -74.16782     0.08      0.11     0.14     1 
0130320766   41.01702    -74.13071     0.20      0.12     0.24     1 
0130320767   41.01673    -74.09361     0.25      0.10     0.26     1 
0130320768   41.01643    -74.05651     0.12     -0.01     0.12     1 
0130320769   41.01612    -74.01941     0.23      0.13     0.26     1 
0130320770   41.01580    -73.98230     0.20      0.17     0.26     1 
0130320771   41.01547    -73.94520     0.06      0.07     0.09     1 
0130320773   41.01477    -73.87100     0.22      0.07     0.23     1 
0130320774   41.01440    -73.83391     0.25      0.05     0.26     1 
0130320775   41.01402    -73.79681     0.19      0.01     0.19     1 
0130320776   41.01362    -73.75971     0.33      0.07     0.34     1 
0130320777   41.01322    -73.72261     0.11     -0.02     0.11     1 
0130320778   41.01280    -73.68552     0.01     -0.01     0.02     1 
0130320779   41.01237    -73.64842    -0.11     -0.05     0.12     1 
0130320780   41.01193    -73.61133    -0.34     -0.12     0.36     1 
0130320781   41.01148    -73.57424    -0.21     -0.15     0.26     1 
0130320809   40.99395    -72.53605    -0.12     -0.04     0.12     1 
0130320810   40.99316    -72.49899    -0.18     -0.08     0.19     1 
0130320811   40.99234    -72.46193    -0.32     -0.12     0.34     1 
0130320812   40.99152    -72.42488     0.00     -0.00     0.00     1 
0130320814   40.98984    -72.35077    -0.08     -0.07     0.10     1 
0130320815   40.98898    -72.31372    -0.14     -0.06     0.15     1 
0130320816   40.98811    -72.27666     0.07      0.04     0.08     1 
0130320817   40.98723    -72.23962    -0.01     -0.02     0.02     1 
0130320838   40.99240    -74.24232     0.08      0.22     0.23     1 
0130320839   40.99215    -74.20522     0.06      0.11     0.13     1 
0130320840   40.99189    -74.16814     0.16      0.12     0.20     1 
0130320841   40.99162    -74.13105     0.33      0.07     0.33     1 
0130320842   40.99133    -74.09396     0.12      0.12     0.17     1 
0130320843   40.99103    -74.05687     0.17      0.07     0.18     1 
0130320844   40.99072    -74.01978     0.15      0.09     0.17     1 
0130320845   40.99040    -73.98269     0.00      0.13     0.13     1 
0130320846   40.99007    -73.94561     0.27      0.11     0.29     1 
0130320848   40.98937    -73.87144     0.24      0.07     0.25     1 
0130320849   40.98900    -73.83435    -0.00      0.07     0.07     1 
0130320850   40.98862    -73.79727     0.24      0.05     0.25     1 
0130320851   40.98822    -73.76019     0.25      0.09     0.26     1 
0130320852   40.98782    -73.72310     0.25      0.01     0.25     1 
0130320853   40.98740    -73.68602     0.16      0.01     0.16     1 
0130320854   40.98697    -73.64894    -0.22     -0.12     0.25     1 
0130320855   40.98653    -73.61186    -0.18     -0.05     0.19     1 
0130320868   40.97972    -73.12990     0.00     -0.00     0.00     1 
0130320869   40.97911    -73.09284     0.03      0.11     0.11     1 
0130320876   40.97453    -72.83341     0.29     -0.16     0.33     1 
0130320879   40.97238    -72.72224     0.13     -0.07     0.15     1 
0130320880   40.97165    -72.68519     0.18      0.18     0.25     1 
0130320881   40.97089    -72.64814    -0.05     -0.04     0.07     1 
0130320882   40.97013    -72.61109     0.12     -0.15     0.19     1 
0130320883   40.96936    -72.57404     0.07     -0.07     0.10     1 
0130320886   40.96697    -72.46291    -0.27     -0.14     0.30     1 
0130320888   40.96531    -72.38882    -0.11     -0.05     0.13     1 
0130320889   40.96446    -72.35178     0.05     -0.03     0.06     1 
0130320890   40.96361    -72.31475     0.15     -0.00     0.15     1 
0130320891   40.96274    -72.27771     0.24     -0.03     0.24     1 
0130320892   40.96186    -72.24067     0.15     -0.10     0.18     1 
0130320893   40.96097    -72.20364     0.08      0.03     0.08     1 
0130320894   40.96006    -72.16661    -0.02     -0.00     0.02     1 
0130320913   40.96700    -74.24261    -0.04      0.06     0.07     1 
0130320914   40.96675    -74.20553     0.06      0.26     0.26     1 
0130320915   40.96649    -74.16845     0.21      0.06     0.22     1 
0130320916   40.96622    -74.13138     0.27      0.18     0.32     1 
0130320917   40.96593    -74.09431     0.32      0.03     0.32     1 
0130320918   40.96563    -74.05723     0.11      0.14     0.18     1 
0130320919   40.96532    -74.02016     0.00      0.11     0.11     1 
0130320920   40.96500    -73.98309     0.33      0.10     0.35     1 
0130320921   40.96467    -73.94601     0.33      0.08     0.34     1 
0130320923   40.96397    -73.87187     0.11      0.03     0.12     1 
0130320924   40.96360    -73.83480    -0.01     -0.07     0.07     1 
0130320925   40.96322    -73.79773     0.18      0.09     0.20     1 
0130320926   40.96283    -73.76066     0.25      0.04     0.25     1 
0130320927   40.96242    -73.72359     0.08      0.09     0.12     1 
0130320928   40.96201    -73.68653    -0.13     -0.10     0.16     1 
0130320936   40.95825    -73.39002     0.01     -0.13     0.13     1 
0130320943   40.95433    -73.13062     0.11     -0.23     0.25     1 
0130320944   40.95372    -73.09357    -0.06     -0.08     0.10     1 
0130320945   40.95311    -73.05652     0.08      0.06     0.10     1 
0130320946   40.95247    -73.01947     0.09     -0.07     0.11     1 
0130320947   40.95183    -72.98242     0.13     -0.01     0.13     1 
0130320948   40.95118    -72.94537     0.17     -0.04     0.18     1 
0130320949   40.95051    -72.90833     0.17      0.06     0.18     1 
0130320950   40.94983    -72.87128     0.25     -0.07     0.27     1 
0130320951   40.94914    -72.83424     0.36      0.04     0.36     1 
0130320952   40.94844    -72.79720     0.11      0.06     0.12     1 
0130320953   40.94773    -72.76015     0.15     -0.02     0.15     1 
0130320954   40.94700    -72.72312     0.13     -0.23     0.26     1 
0130320956   40.94551    -72.64904     0.14     -0.08     0.16     1 
0130320957   40.94475    -72.61200     0.05     -0.06     0.08     1 
0130320958   40.94398    -72.57497    -0.13     -0.03     0.13     1 
0130320962   40.94077    -72.42685    -0.12     -0.08     0.15     1 
0130320963   40.93993    -72.38982     0.16     -0.02     0.16     1 
0130320965   40.93823    -72.31577    -0.06     -0.07     0.09     1 
0130320966   40.93736    -72.27875    -0.04     -0.12     0.13     1 
0130320967   40.93648    -72.24173    -0.17      0.00     0.17     1 
0130320988   40.94160    -74.24290     0.23      0.10     0.25     1 
0130320989   40.94135    -74.20583     0.16      0.07     0.18     1 
0130320990   40.94109    -74.16877     0.10      0.08     0.12     1 
